series_id,name,url,source_category
CROASMIDTIER,"AD&Co US Mortgage High Yield Index, Credit-and-Option-Adjusted Spread: Mid-Tier",https://fred.stlouisfed.org/series/CROASMIDTIER,https://fred.stlouisfed.org/categories/46
CROASTIER0,"AD&Co US Mortgage High Yield Index, Credit-and-Option-Adjusted Spread: Tier 0",https://fred.stlouisfed.org/series/CROASTIER0,https://fred.stlouisfed.org/categories/46
CROASTIER1,"AD&Co US Mortgage High Yield Index, Credit-and-Option-Adjusted Spread: Tier 1",https://fred.stlouisfed.org/series/CROASTIER1,https://fred.stlouisfed.org/categories/46
CRTINDEXTIER1,AD&Co US Mortgage High Yield Index: Tier 1,https://fred.stlouisfed.org/series/CRTINDEXTIER1,https://fred.stlouisfed.org/categories/46
CROASTIER3,"AD&Co US Mortgage High Yield Index, Credit-and-Option-Adjusted Spread: Tier 3",https://fred.stlouisfed.org/series/CROASTIER3,https://fred.stlouisfed.org/categories/46
CROASTIER2,"AD&Co US Mortgage High Yield Index, Credit-and-Option-Adjusted Spread: Tier 2",https://fred.stlouisfed.org/series/CROASTIER2,https://fred.stlouisfed.org/categories/46
CRTINDEXTIER0,AD&Co US Mortgage High Yield Index: Tier 0,https://fred.stlouisfed.org/series/CRTINDEXTIER0,https://fred.stlouisfed.org/categories/46
CRTINDEXTIER3,AD&Co US Mortgage High Yield Index: Tier 3,https://fred.stlouisfed.org/series/CRTINDEXTIER3,https://fred.stlouisfed.org/categories/46
CRTINDEXTIER2,AD&Co US Mortgage High Yield Index: Tier 2,https://fred.stlouisfed.org/series/CRTINDEXTIER2,https://fred.stlouisfed.org/categories/46
CRTINDEXMIDTIER,AD&Co US Mortgage High Yield Index: Mid-Tier,https://fred.stlouisfed.org/series/CRTINDEXMIDTIER,https://fred.stlouisfed.org/categories/46
VISASMIDNSA,Visa Spending Momentum Index: Discretionary: United States,https://fred.stlouisfed.org/series/VISASMIDNSA,https://fred.stlouisfed.org/categories/46
VISASMIDSA,Seasonally Adjusted,https://fred.stlouisfed.org/series/VISASMIDSA,https://fred.stlouisfed.org/categories/46
VISASMIHNSA,Visa Spending Momentum Index: Headline: United States,https://fred.stlouisfed.org/series/VISASMIHNSA,https://fred.stlouisfed.org/categories/46
VISASMIHSA,Seasonally Adjusted,https://fred.stlouisfed.org/series/VISASMIHSA,https://fred.stlouisfed.org/categories/46
VISASMINNSA,Visa Spending Momentum Index: Non-discretionary: United States,https://fred.stlouisfed.org/series/VISASMINNSA,https://fred.stlouisfed.org/categories/46
VISASMINSA,Seasonally Adjusted,https://fred.stlouisfed.org/series/VISASMINSA,https://fred.stlouisfed.org/categories/46
RCCCBBALTOT,Large Bank Consumer Credit Card Balances: Total Balances,https://fred.stlouisfed.org/series/RCCCBBALTOT,https://fred.stlouisfed.org/categories/23
RCMFLOORIG,Large Bank Consumer Mortgage Originations: New Originations,https://fred.stlouisfed.org/series/RCMFLOORIG,https://fred.stlouisfed.org/categories/23
RCCCBACTDPD30P,Large Bank Consumer Credit Card Balances: 30 or More Days Past Due Rates: Accounts Based,https://fred.stlouisfed.org/series/RCCCBACTDPD30P,https://fred.stlouisfed.org/categories/23
RCMFLOLTVPCT50,Large Bank Consumer Mortgage Originations: Original Loan-to-Value (LTV): 50th Percentile,https://fred.stlouisfed.org/series/RCMFLOLTVPCT50,https://fred.stlouisfed.org/categories/23
RCMFLBACTDPDPCT30P,Large Bank Consumer Mortgage Balances: 30 or More Days Past Due: Including Foreclosures Rates: Accounts Based,https://fred.stlouisfed.org/series/RCMFLBACTDPDPCT30P,https://fred.stlouisfed.org/categories/23
